918 17th Ave SEMinneapolis MN 55414,$2000,4,2,1659 sq ft,Available Now,https://www.apartments.com/918-17th-ave-se-minneapolis-mn/zr5xkpy/, Microwave , Refrigerator ,
1700 Como Ave SEMinneapolis MN 55414,$2200,4,1,1900 sq ft,Available Now,https://www.apartments.com/1700-como-ave-se-minneapolis-mn/mz5jj4h/, Microwave , Refrigerator ,
1031 27th Ave SEMinneapolis MN 55414,$2801,5,2,2300 sq ft,Available Now,https://www.apartments.com/1031-27th-ave-se-minneapolis-mn/pggrper/, Refrigerator ,
901 21st Ave SEMinneapolis MN 55414,$3425,5,1,1750 sq ft,Available Aug 15 2026,https://www.apartments.com/901-21st-ave-se-minneapolis-mn/z4410hz/, High Speed Internet Access , Wi-Fi , Washer/Dryer , Heating , Ceiling Fans , Cable Ready , Storage Space , Tub/Shower , Fireplace , Kitchen , Hardwood Floors , Basement , Mud Room , Crown Molding , Walking/Biking Trails , Porch , Deck , Yard ,
1031 14th Ave SEMinneapolis MN 55414,$3600,6,2,2272 sq ft,Available Sep 1 2026,https://www.apartments.com/1031-14th-ave-se-minneapolis-mn/sjb8557/, High Speed Internet Access , Washer/Dryer , Heating , Ceiling Fans , Storage Space , Double Vanities , Tub/Shower , Oven , Basement , Porch , Deck , Yard ,
958 15th Ave SEMinneapolis MN 55414,$2650,4,2,1100 sq ft,Available Sep 1 2026,https://www.apartments.com/958-15th-ave-se-minneapolis-mn/zvre61y/, Washer/Dryer , Air Conditioning , Dishwasher ,
2018 Como Ave SEMinneapolis MN 55414,$3000,5,2,2800 sq ft,Available Sep 1 2026,https://www.apartments.com/2018-como-ave-se-minneapolis-mn/bl7c1nc/, Laundry Facilities ,
1212 Como Ave SEMinneapolis MN 55414,$3300,6,2,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/1212-como-ave-se-minneapolis-mn/f96bpmr/, Washer/Dryer , Kitchen , Dining Room , Laundry Facilities ,
925 22nd Ave SEMinneapolis MN 55414,$2000,3,2,1500 sq ft,Available Sep 1 2026,https://www.apartments.com/925-22nd-ave-se-minneapolis-mn/pj4gfxt/, Washer/Dryer , Heating , Tile Floors , Laundry Facilities ,
1054 24th Ave SEMinneapolis MN 55414,$2500,5,2,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/1054-24th-ave-se-minneapolis-mn/wvvmy6h/, Washer/Dryer , Dishwasher , Kitchen , Hardwood Floors , Laundry Facilities , Sauna , Yard ,
1025 12th Ave SEMinneapolis MN 55414,$3000,6,3,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/1025-12th-ave-se-minneapolis-mn/3mprn3g/, Wi-Fi , Washer/Dryer , Heating , Storage Space , Kitchen , Hardwood Floors , Basement , Laundry Facilities , Porch , Yard ,
2108 Talmage Ave SEMinneapolis MN 55414,$1900,4,2,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/2108-talmage-ave-se-minneapolis-mn/vzfy7gg/, Basement , Laundry Facilities ,
