building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
,1814-5,1814 11th Ave S Minneapolis MN 55404,3,1,$510.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,1814-1,1814 11th Ave S Minneapolis MN 55404,2,1,$610.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,1814-2,1814 11th Ave S Minneapolis MN 55404,1,1,$925.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,1814-3,1814 11th Ave S Minneapolis MN 55404,1,1,$900.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Fire Pit, Yard"
,Lower Unit,1061 23rd Ave SE Minneapolis MN 55414,5,2,$3150.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/58525,"Hardwood Floors, Oven, Refrigerator, Washer & Dryer, 24 Hour Emergency Maintenance, No Pets Allowed"
,Upper Unit,856 18th Ave SE Minneapolis MN 55414,5,2,$3375.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78760,24 Hour Emergency Maintenance
,Lower unit,1015 21st Ave SE Minneapolis MN 55414,6,2,$3780.00,,Now,https://listings.umn.edu/city/minneapolis-mn/listing/78758,24 Hour Emergency Maintenance
,upper unit,1057 23rd Ave SE Minneapolis MN 55414,6,2,$3900.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58543,"Oven, Refrigerator, Washer & Dryer, 24 Hour Emergency Maintenance, No Pets Allowed"
,2,617 14th Ave SE Minneapolis MN 55414 United States,6,2,$4350.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43657,"Bedrooms Keyed Separately, Dining Room, Dishwasher, Hardwood Floors, Keyless Entry, Oven, Private Balcony, Refrigerator, Walking Distance to Class, Laundry On-Site, On Bus Line"
,1,617 14th Ave SE Minneapolis MN 55414 United States,3,1,$2340.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43657,"Bedrooms Keyed Separately, Dining Room, Dishwasher, Hardwood Floors, Keyless Entry, Oven, Private Balcony, Refrigerator, Walking Distance to Class, Laundry On-Site, On Bus Line"
