building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
Blaise Apartments,112,2645 1st Ave S Minneapolis MN 55408 USA,Studio,1,1025.00,455,06-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/110910,"{9 Foot Ceilings, Dishwasher, High Ceilings, Keyless Entry, Microwave, Oversized Windows, Refrigerator, Washer & Dryer, Wood Plank Flooring, Stainless Steel Appliances, Air Conditioning, Granite Countertops, Quartz Countertops, Cats, Dogs, Luxury Vinyl Flooring, Fitness Center, Common area WiFi}"
Blaise Apartments,504,2645 1st Ave S Minneapolis MN 55408 USA,Studio,1,1095.00,434,06-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/110910,"{9 Foot Ceilings, Dishwasher, High Ceilings, Keyless Entry, Microwave, Oversized Windows, Refrigerator, Washer & Dryer, Wood Plank Flooring, Stainless Steel Appliances, Air Conditioning, Granite Countertops, Quartz Countertops, Cats, Dogs, Luxury Vinyl Flooring, Fitness Center, Common area WiFi}"
Blaise Apartments,310,2645 1st Ave S Minneapolis MN 55408 USA,Studio,1,1045.00,441,06-03-2026,https://listings.umn.edu/city/minneapolis-mn/listing/110910,"{9 Foot Ceilings, Dishwasher, High Ceilings, Keyless Entry, Microwave, Oversized Windows, Refrigerator, Washer & Dryer, Wood Plank Flooring, Stainless Steel Appliances, Air Conditioning, Granite Countertops, Quartz Countertops, Cats, Dogs, Luxury Vinyl Flooring, Fitness Center, Common area WiFi}"
Blaise Apartments,212,2645 1st Ave S Minneapolis MN 55408 USA,Studio,1,995.00,439,06-03-2026,https://listings.umn.edu/city/minneapolis-mn/listing/110910,"{9 Foot Ceilings, Dishwasher, High Ceilings, Keyless Entry, Microwave, Oversized Windows, Refrigerator, Washer & Dryer, Wood Plank Flooring, Stainless Steel Appliances, Air Conditioning, Granite Countertops, Quartz Countertops, Cats, Dogs, Luxury Vinyl Flooring, Fitness Center, Common area WiFi}"
Blaise Apartments,403,2645 1st Ave S Minneapolis MN 55408 USA,Studio,1,1075.00,434,06-03-2026,https://listings.umn.edu/city/minneapolis-mn/listing/110910,"{9 Foot Ceilings, Dishwasher, High Ceilings, Keyless Entry, Microwave, Oversized Windows, Refrigerator, Washer & Dryer, Wood Plank Flooring, Stainless Steel Appliances, Air Conditioning, Granite Countertops, Quartz Countertops, Cats, Dogs, Luxury Vinyl Flooring, Fitness Center, Common area WiFi}"
Blaise Apartments,406,2645 1st Ave S Minneapolis MN 55408 USA,Studio,1,1075.00,434,06-08-2026,https://listings.umn.edu/city/minneapolis-mn/listing/110910,"{9 Foot Ceilings, Dishwasher, High Ceilings, Keyless Entry, Microwave, Oversized Windows, Refrigerator, Washer & Dryer, Wood Plank Flooring, Stainless Steel Appliances, Air Conditioning, Granite Countertops, Quartz Countertops, Cats, Dogs, Luxury Vinyl Flooring, Fitness Center, Common area WiFi}"
Blaise Apartments,205,2645 1st Ave S Minneapolis MN 55408 USA,Studio,1,995.00,433,07-02-2026,https://listings.umn.edu/city/minneapolis-mn/listing/110910,"{9 Foot Ceilings, Dishwasher, High Ceilings, Keyless Entry, Microwave, Oversized Windows, Refrigerator, Washer & Dryer, Wood Plank Flooring, Stainless Steel Appliances, Air Conditioning, Granite Countertops, Quartz Countertops, Cats, Dogs, Luxury Vinyl Flooring, Fitness Center, Common area WiFi}"
1319 Franklin Ave SE,#5,1319 Franklin Ave SE Minneapolis MN 55414 USA,3,1,1550.00,895,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78118,"{Hardwood Floors, Oven, Refrigerator, Cats}"
1018 16th Ave SE,#1,1018 16th Ave SE Minneapolis MN 55414 USA,5,2,3495.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38194,"{Dishwasher, Microwave, Oven, Pantry, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Walk-in Closet, Washer & Dryer, Laundry On-Site, On-Site Storage, Study Room}"
637 Ontario,301,637 Ontario St SE Minneapolis MN 55414 USA,5,2,2950.00,1700,08-31-2026,https://listings.umn.edu/city/minneapolis-mn/listing/73572,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Breakfast Bar, Carpet, Central Heat and Air Conditioning, Dining Room, Dishwasher, Electronic Key System, Flat-Screen TV, Fresh Paint, Granite Countertops, Hardwood Floors, Microwave, Oven, Pantry, Parking Available, Porch, Private Bathrooms, Quartz Countertops, Refrigerator, Security Cameras On Site, Stainless Steel Kitchen Appliances, Tile, Vaulted Ceilings, Walk-in Closet, Walking Distance to Class, Washer & Dryer, Wood Plank Flooring, 24 Hour Emergency Maintenance, 24-Hour Security, Cable Ready, Cats, Controlled Building Access, Dogs, Gated Community, Internet Ready, Laundry On-Site, Laundry Room, On Bus Line, On-Site Storage, Pets Allowed, Private Shuttle, Courtyard, Deck, Fenced Yard, Yard}"
