building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
,Single or Double Occupancy,1318 7th St SE Minneapolis MN 55414,1,2,600.00 - 700.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43215,"{9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Dishwasher, Fireplace, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, New Carpet, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, On Bus Line, On-Site Storage, Pets Allowed, Deck, Fire Pit, Yard}"
,1320,1320 7th St SE Minneapolis MN 55414,4,4,590.00 - 700.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43213,"{9 Foot Ceilings, Bedrooms Keyed Separately, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room}"
,1318,1318 7th St SE Minneapolis MN 55414,5,3,600.00 - 700.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43215,"{9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Dishwasher, Fireplace, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, New Carpet, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Cats, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, On Bus Line, On-Site Storage, Pets Allowed, Deck, Fire Pit, Yard}"
,#1,814 6th Ave SE Minneapolis MN 55414 USA,5,2,3250.00,2100,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/230525,"{Air Conditioning, Central Heat and Air Conditioning, Dishwasher, Fresh Paint, Granite Countertops, Hardwood Floors, Microwave, New Cabinets, New Windows}"
,1814-2,1814 11th Ave S Minneapolis MN 55404,1,1,925.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"{9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Individual Leases, International Student Friendly Housing, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Laundry Room, Yard}"
,1814-3,1814 11th Ave S Minneapolis MN 55404,1,1,900.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"{9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Individual Leases, International Student Friendly Housing, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Laundry Room, Yard}"
,1814-1,1814 11th Ave S Minneapolis MN 55404,2,1,610.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"{9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Individual Leases, International Student Friendly Housing, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Laundry Room, Yard}"
,Flex,1814 11th Ave S Minneapolis MN 55404,3,1,500.00 - 510.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"{9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Individual Leases, International Student Friendly Housing, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Laundry Room, Yard}"
,1814-4,1814 11th Ave S Minneapolis MN 55404,3,1,525.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"{9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Individual Leases, International Student Friendly Housing, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Laundry Room, Yard}"
,1814-5,1814 11th Ave S Minneapolis MN 55404,3,1,510.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43225,"{9 Foot Ceilings, Air Conditioning, Carpet, Central Heat and Air Conditioning, Ceramic Baths, Dishwasher, Fresh Paint, Hardwood Floors, High Ceilings, New Carpet, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, Window Treatments & Coverings, Individual Leases, International Student Friendly Housing, Cable Ready, Cats, Internet Ready, Laundry On-Site, On Bus Line, On-Site Storage, Pets Allowed, Laundry Room, Yard}"
,Lower Unit,856 18th Ave SE Minneapolis MN 55414,6,2,4050.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78760,{24 Hour Emergency Maintenance}
,Upper Unit,1061 23rd Ave SE Minneapolis MN 55414,6,2,3780.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58525,"{Hardwood Floors, Oven, Refrigerator, Washer & Dryer, 24 Hour Emergency Maintenance, No Pets Allowed}"
,upper unit,1057 23rd Ave SE Minneapolis MN 55414,6,2,3900.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58543,"{Oven, Refrigerator, Washer & Dryer, 24 Hour Emergency Maintenance, No Pets Allowed}"
,Lower unit,1015 21st Ave SE Minneapolis MN 55414,6,2,3600.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78758,{24 Hour Emergency Maintenance}
,lower unit,1057 23rd Ave SE Minneapolis MN 55414,5,3,3150.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58543,"{Oven, Refrigerator, Washer & Dryer, 24 Hour Emergency Maintenance, No Pets Allowed}"
,UNIT 3,1205 Talmage Ave SE Minneapolis MN 55414,6,3,3600.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/85044,"{Air Conditioning, 24 Hour Emergency Maintenance}"
,1105-1,1105 8th St SE Minneapolis MN 55414 United States,4,2,2340.00,2500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/54284,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck}"
,1105-2,1105 8th St SE Minneapolis MN 55414 United States,5,2,2600.00,2725,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/54284,"{Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck}"
1301 7th Street SE,#1,1301 7th St SE Minneapolis MN 55414 United States,3,2,2085.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9594,"{Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Custom Tile Backsplash, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, LED Smart T.V., Microwave, New Cabinets, New Windows, Oven, Parking Available, Porch, Private Entrance, Private Terrace, Refrigerator, Sound Barrier Construction, Tile, Vaulted Ceilings, Walking Distance to Class, Window Treatments & Coverings, 24 Hour Emergency Maintenance, Laundry On-Site, Deck, Yard}"
1212 8th St SE,#201,1212 SE 8th St Minneapolis MN 55414,6,3,4500.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9569,"{9 Foot Ceilings, Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Hardwood Floors, Oven, Parking Available, Refrigerator, Walk-in Closet, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site}"
The Raccoon,2,1012 8th St SE Minneapolis MN 55414 United States,5,2,2900.00,1500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9577,"{Air Conditioning, Bedrooms Keyed Separately, Ceiling Fans, Central Heat and Air Conditioning, Dishwasher, Fireplace, Flat-Screen TV, Keyless Entry, Microwave, New Windows, Oven, Parking Available, Porch, Refrigerator, Sound Barrier Construction, Tile, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, Laundry On-Site}"
1815 Talmage Ave SE,,1815 Talmage Ave SE Minneapolis MN 55414,5,2,2750.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115167,{}
Elmwood Properties - 1720 Rollins Ave,House,1720 Rollins Avenue SE Minneapolis MN 55414 USA,4,2,2800.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9715,"{Hardwood Floors, Oven, Refrigerator, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, Cats, Dogs, Yard}"
3-Bed 1-Bath Como House,,1106 17th Ave SE Minneapolis MN 55414 USA,3,1,1900.00,1500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115368,{}
Fully Renovated 5-Bedroom House Close to U of M Campus,,924 18th Ave SE Minneapolis MN 55414 USA,5,3,3895.00,2800,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38218,"{Oven, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Walk-in Closet, Laundry On-Site}"
1213 7th st SE,2,1213 SE 7th St Minneapolis MN 55414 USA,5,3,3400.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9592,"{Air Conditioning, Breakfast Bar, Hardwood Floors, Oven, Parking Available, Porch, Private Balcony, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site}"
5-Bedroom House Close to U of M Campus,,1211 Yale Ave Minneapolis MN 55414 USA,5,2,2000.00,0,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78116,"{Oven, Porch, Refrigerator, Deck, Yard}"
The Moose Lodge,101,1309 SE 8th St Minneapolis MN 55414,5,2,3225.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9549,"{Air Conditioning, Fireplace, Flat-Screen TV, Oven, Parking Available, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, Laundry On-Site}"
The Moose Lodge,201,1309 SE 8th St Minneapolis MN 55414,5,2,3400.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9549,"{Air Conditioning, Fireplace, Flat-Screen TV, Oven, Parking Available, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, Laundry On-Site}"
Single Family House Close to U of M Campus,,939 Weeks Ave SE Minneapolis MN 55414 USA,4,2,2200.00,0,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78184,{}
1319/1321 7th Street SE,1321,1319 7th St SE Minneapolis MN 55414 United States,7,2,4200.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9590,"{Air Conditioning, Hardwood Floors, Oven, Parking Available, Porch, Private Balcony, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site}"
Campus Pride (1116 7th),#1,1116 7th St SE Minneapolis MN 55414,5,3,4475.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115296,"{Air Conditioning, Parking Available, 24 Hour Emergency Maintenance, Laundry On-Site}"
Campus Pride (1116 7th),#2,1116 7th St SE Minneapolis MN 55414,5,3,4000.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115296,"{Air Conditioning, Parking Available, 24 Hour Emergency Maintenance, Laundry On-Site}"
4 BedroomDuplex 617 4th St SE,,617 4th St SE Minneapolis MN 55414 USA,4,1,Call For Price,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/67366,"{Built-in Cabinets, Microwave, Refrigerator, No Pets Allowed}"
Updated 5-Bedroom House Close to U of M Campus,,1091 15th Ave SE Minneapolis MN 55414 USA,5,3,3395.00,2500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38210,"{Oven, Porch, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Walk-in Closet, Laundry Room}"
7 bed 3 bathhouse,,1026 12th Ave SE Minneapolis MN 55414 USA,7,3,3900.00,2800,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/235507,{}
1315 7th Street SE,#1,1315 7th St SE Minneapolis MN 55414 United States,5,2,3375.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9600,"{Air Conditioning, Hardwood Floors, Oven, Parking Available, Porch, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site}"
4-Bedroom House Close to U of M Campus,,1087 15th Ave SE Minneapolis MN 55414 USA,4,2,2595.00,1800,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38184,"{Oven, Porch, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Laundry On-Site}"
Title not found,not found,Address not found,not found,not found,not found,not found,not found,https://listings.umn.edu/city/minneapolis-mn/listing/232982,{}
1070 26th Ave SE,,1070 26th Ave SE Minneapolis MN 55414,5,2,2395.00,,09-03-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115164,{Fire Pit}
Affordable 6-Bedroom House close to U of M Campus,,854 22nd Ave SE Minneapolis MN 55414 USA,6,2,2895.00,0,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38222,"{Oven, Pantry, Porch, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Walk-in Closet, Laundry On-Site}"
608/610 13th Avenue SE,608,610 13th Ave SE Minneapolis MN 55414 United States,5,2,3250.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9573,"{Air Conditioning, Dishwasher, Hardwood Floors, Oven, Parking Available, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site}"
608/610 13th Avenue SE,610,610 13th Ave SE Minneapolis MN 55414 United States,5,2,3400.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9573,"{Air Conditioning, Dishwasher, Hardwood Floors, Oven, Parking Available, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site}"
4-Bed 2-Bath House,,1015 27th Ave SE Minneapolis MN 55414 USA,4,2,2400.00,1400,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58195,"{Oven, Refrigerator}"
